year,cpi_index
2000,165.725
2001,169.74166666666667
2002,170.8166666666667
2003,174.58333333333334
2004,179.275
2005,186.04999999999998
2006,191.91666666666666
2007,196.6385
2008,205.4525
2009,203.30124999999998
2010,208.64258333333336
2011,217.04774999999998
2012,221.44583333333333
2013,223.82000000000002
2014,226.192
2015,223.31341666666665
2016,223.80733333333333
2017,227.24108333333334
2018,231.78858333333335
2019,234.21450000000002
2020,235.67549999999997
2021,249.14216666666667
2022,271.6895
2023,278.4124166666667
2024,283.2004166666667
2025,289.0023636363636
2026,293.65000000000003
